id,platform,author,comment,post_title
1,youtube,mira_h,Does it cover mushrooms at all?,Five weeds you can eat
2,youtube,tom.wilder,How much is it and where do I get it?,Five weeds you can eat
3,instagram,quietgardener,"Beautiful footage, thank you for making these",Hedgerow walk in April
4,tiktok,sam_o,Wait that is actually edible? I have been pulling those up for years,Five weeds you can eat
5,instagram,laura.mendez,"Hola, me encantan estos videos. Hay version en espanol?",Hedgerow walk in April
6,youtube,budget_dad,A bit pricey for a paperback honestly,What is inside the guide
7,tiktok,curious_kim,Is any of this safe for someone who has never done it before,Five weeds you can eat
8,youtube,ana_p,Do you ship to Canada and how long does it take?,What is inside the guide
9,youtube,,Is the PDF the same as the printed one?,What is inside the guide
10,instagram,deal_hunter,Any discount code going?,What is inside the guide
11,youtube,realtalk_99,This is a scam you are just here to sell a book,Five weeds you can eat
12,tiktok,hater_x,Empty words as usual,Hedgerow walk in April
13,youtube,poli_guy,What do you think about the new government,Hedgerow walk in April
14,instagram,ghost_leaf,,Hedgerow walk in April
15,tiktok,emoji_only,🌿🌿🌿,Five weeds you can eat
16,youtube,promo_bot_7,Check my channel for free giveaways every day,Five weeds you can eat
17,youtube,upset_reader,I bought this and half the plants are not even in my region,What is inside the guide
18,instagram,alerts_now,Someone is posting the whole PDF in a group chat,What is inside the guide
19,youtube,night_shift,I have a nut allergy is any of this dangerous for me,Five weeds you can eat
20,tiktok,press_lisa,I write for a gardening magazine can we talk about a feature,Hedgerow walk in April
21,youtube,is_this_a_bot,Is a real person writing these replies or is it a bot,What is inside the guide
22,instagram,marta.kowal,Czy ten przewodnik obejmuje Europe Srodkowa?,Hedgerow walk in April
23,youtube,repeat_asker,how much,What is inside the guide
24,tiktok,second_asker,where can I buy it,Five weeds you can eat
25,youtube,gift_giver,Would this work as a present for someone who knows nothing about plants,What is inside the guide
26,instagram,slow_learner,I always give up on plant books after about two pages,Hedgerow walk in April
27,youtube,already_answered,Same question as the person above about mushrooms,Five weeds you can eat
28,tiktok,pocket_size,Is it small enough to actually carry on a walk,What is inside the guide
29,youtube,eur_buyer,How much is that in euros?,What is inside the guide
30,instagram,warm_praise,This channel got me outside again after a rough year,Hedgerow walk in April
