id,platform,author,comment,video_title
1,instagram,new_baker,Do I need a stand mixer for this?,Your first starter
2,youtube,pricecheck,how much is it,Six weeks explained
3,instagram,frisbee_loaf,My loaves come out like frisbees every single time,Shaping day
4,youtube,skeptic_sal,Is it worth it when there are a million free videos,Six weeks explained
5,instagram,farm_troll,You people are just farming subscriptions,Six weeks explained
6,youtube,double_charged,I have been charged twice this month,Your first starter
7,instagram,coeliac_q,Can I do this gluten free?,Your first starter
8,youtube,shift_worker,I work nights can I still fit this around my hours,Shaping day
9,instagram,,Are the videos downloadable for offline?,Six weeks explained
10,youtube,jm_ferreira,Tem legendas em portugues?,Your first starter
11,instagram,warm_one,"You two made this feel possible, thank you",Shaping day
12,youtube,empty_row,,Shaping day
13,instagram,heart_spam,❤️❤️❤️,Your first starter
14,youtube,gift_idea,Can I buy this for my sister as a present,Six weeks explained
15,instagram,refund_ask,How do I cancel and can I get last month back,Six weeks explained
16,youtube,pirate_watch,The whole week one video is on a file sharing site,Your first starter
17,instagram,press_ben,I run a food podcast would you come on,Shaping day
18,youtube,is_bot,Are these replies written by a bot,Six weeks explained
19,instagram,oven_q,My oven only goes to 200 will that work,Shaping day
20,youtube,med_q,I am on a low sodium diet is sourdough ok for me,Your first starter
